Date,15cm,45cm,75cm
'01/01/2017',NaN,NaN,NaN
'02/01/2017',NaN,NaN,NaN
'03/01/2017',30,43,86
'04/01/2017',34,40,86
'05/01/2017',29,42,90
'06/01/2017',32,48,96
'07/01/2017',NaN,NaN,NaN
'08/01/2017',NaN,NaN,NaN
'09/01/2017',20,27,86
'10/01/2017',26,30,71
'11/01/2017',19,24,27
'12/01/2017',28,36,32
'13/01/2017',30,37,34
'14/01/2017',NaN,NaN,NaN
'15/01/2017',NaN,NaN,NaN
'16/01/2017',31,38,38
'17/01/2017',33,40,40
'18/01/2017',30,37,38
'19/01/2017',20,26,36
'20/01/2017',25,34,36
'21/01/2017',NaN,NaN,NaN
'22/01/2017',NaN,NaN,NaN
'23/01/2017',30,28,34
'24/01/2017',30,38,38
'25/01/2017',32,40,38
'26/01/2017',32,40,40
'27/01/2017',24,30,32
'28/01/2017',NaN,NaN,NaN
'29/01/2017',NaN,NaN,NaN
'30/01/2017',NaN,NaN,NaN
'31/01/2017',34,43,44